key,value
exp_upgrade.basket_ball.lv7,농구공Lv7:\\n속도+20%
exp_upgrade.basket_ball.lv8,농구공Lv8:\\n공격력+3
exp_upgrade.basket_ball.lv9,농구공Lv9:\\n속도+20%
exp_upgrade.basket_ball.lv10,농구공Lv10:\\n수량+1
exp_upgrade.simple_critical.name,치명타
exp_upgrade.simple_critical.lv1,치명타Lv1:\\n15% 확률로 치명타
exp_upgrade.simple_critical.lv2,치명타Lv2:\\n28% 확률로 치명타
exp_upgrade.simple_critical.lv3,치명타Lv3:\\n40% 확률로 치명타
exp_upgrade.simple_critical.lv4,치명타Lv4:\\n52% 확률로 치명타
exp_upgrade.simple_critical.lv5,치명타Lv5:\\n65% 확률로 치명타
exp_upgrade.damage_rate.name,피해 배율
exp_upgrade.damage_rate.lv1,피해 배율Lv1:\\n피해+15%
exp_upgrade.damage_rate.lv2,피해 배율Lv2:\\n피해+28%
exp_upgrade.damage_rate.lv3,피해 배율Lv3:\\n피해+40%
exp_upgrade.damage_rate.lv4,피해 배율Lv4:\\n피해+52%
exp_upgrade.damage_rate.lv5,피해 배율Lv5:\\n피해+65%
exp_upgrade.simple_fly_count.name,투사체
exp_upgrade.simple_fly_count.lv1,투사체Lv1:\\n추가 투사체+1
exp_upgrade.simple_fly_count.lv2,투사체Lv2:\\n추가 투사체+2
exp_upgrade.simple_fly_count.lv3,투사체Lv3:\\n추가 투사체+3
exp_upgrade.movement_speed_rate.name,이동 속도
exp_upgrade.movement_speed_rate.lv1,이동 속도Lv1:\\n이동 속도+25%
exp_upgrade.movement_speed_rate.lv2,이동 속도Lv2:\\n이동 속도+50%
exp_upgrade.movement_speed_rate.lv3,이동 속도Lv3:\\n이동 속도+75%
exp_upgrade.movement_speed_rate.lv4,이동 속도Lv4:\\n이동 속도+100%
exp_upgrade.movement_speed_rate.lv5,이동 속도Lv5:\\n이동 속도+125%
exp_upgrade.simple_exp_percent.name,경험치
exp_upgrade.simple_exp_percent.lv1,경험치Lv1:\\n드롭률+5%
exp_upgrade.simple_exp_percent.lv2,경험치Lv2:\\n드롭률+10%
exp_upgrade.simple_exp_percent.lv3,경험치Lv3:\\n드롭률+15%
exp_upgrade.simple_exp_percent.lv4,경험치Lv4:\\n드롭률+20%
exp_upgrade.simple_exp_percent.lv5,경험치Lv5:\\n드롭률+25%
exp_upgrade.simple_collectable_area_radius.name,수집 범위
exp_upgrade.simple_collectable_area_radius.lv1,수집 범위Lv1:\\n수집 범위+100%
exp_upgrade.simple_collectable_area_radius.lv2,수집 범위Lv2:\\n수집 범위+200%
exp_upgrade.simple_collectable_area_radius.lv3,수집 범위Lv3:\\n수집 범위+300%
exp_upgrade.magic_wand.name,마법 지팡이
exp_upgrade.magic_wand.paired_name,성스러운 지팡이
exp_upgrade.magic_wand.paired_desc,연사 + 관통 + 넉백 강화
exp_upgrade.magic_wand.lv1,마법 지팡이Lv1:\\n가장 가까운 적에게 자동 마탄 발사
exp_upgrade.magic_wand.lv2,마법 지팡이Lv2：\\n공격력+2
exp_upgrade.magic_wand.lv3,마법 지팡이Lv3：\\n수량+1
exp_upgrade.magic_wand.lv4,마법 지팡이Lv4：\\n간격-0.08s
exp_upgrade.magic_wand.lv5,마법 지팡이Lv5：\\n공격력+3
exp_upgrade.magic_wand.lv6,마법 지팡이Lv6：\\n수량+1
exp_upgrade.magic_wand.lv7,마법 지팡이Lv7：\\n간격-0.08s
exp_upgrade.magic_wand.lv8,마법 지팡이Lv8：\\n공격력+3
exp_upgrade.magic_wand.lv9,마법 지팡이Lv9：\\n수량+1
exp_upgrade.magic_wand.lv10,마법 지팡이Lv10：\\n공격력+4 간격-0.1s
exp_upgrade.simple_bow.name,활
exp_upgrade.simple_bow.paired_name,엘븐 보우
exp_upgrade.simple_bow.paired_desc,화살 분열 + 추적
exp_upgrade.simple_bow.lv1,활Lv1:\\n고속 관통 화살 발사
exp_upgrade.simple_bow.lv2,활Lv2：\\n공격력+2
exp_upgrade.simple_bow.lv3,활Lv3：\\n수량+1
exp_upgrade.simple_bow.lv4,활Lv4：\\n관통+1
exp_upgrade.simple_bow.lv5,활Lv5：\\n간격-0.1s
exp_upgrade.simple_bow.lv6,활Lv6：\\n공격력+3
exp_upgrade.simple_bow.lv7,활Lv7：\\n수량+1
exp_upgrade.simple_bow.lv8,활Lv8：\\n관통+1
exp_upgrade.simple_bow.lv9,활Lv9：\\n간격-0.1s
exp_upgrade.simple_bow.lv10,활Lv10：\\n공격력+4
exp_upgrade.empty_tome.name,빈 서적
exp_upgrade.empty_tome.lv1,빈 서적Lv1:\\n전역 쿨다운-8%
exp_upgrade.empty_tome.lv2,빈 서적Lv2:\\n전역 쿨다운-16%
exp_upgrade.empty_tome.lv3,빈 서적Lv3:\\n전역 쿨다운-24%
exp_upgrade.empty_tome.lv4,빈 서적Lv4:\\n전역 쿨다운-32%
exp_upgrade.empty_tome.lv5,빈 서적Lv5:\\n전역 쿨다운-40%
exp_upgrade.luck.name,행운
exp_upgrade.luck.lv1,행운Lv1:\\n행운+5%（드롭 품질과 치명타）
exp_upgrade.luck.lv2,행운Lv2:\\n행운+10%（드롭 품질과 치명타）
exp_upgrade.luck.lv3,행운Lv3:\\n행운+15%（드롭 품질과 치명타）
exp_upgrade.luck.lv4,행운Lv4:\\n행운+20%（드롭 품질과 치명타）
exp_upgrade.luck.lv5,행운Lv5:\\n행운+25%（드롭 품질과 치명타）
exp_upgrade.boomerang.name,부메랑
exp_upgrade.boomerang.paired_name,레이저 부메랑
exp_upgrade.boomerang.paired_desc,왕복 횟수 증가 + 관통 강화
exp_upgrade.boomerang.lv1,부메랑Lv1:\\n던지고 돌아오며 왕복 모두 피해
exp_upgrade.boomerang.lv2,부메랑Lv2:\\n공격력+2
exp_upgrade.boomerang.lv3,부메랑Lv3:\\n개수+1
exp_upgrade.boomerang.lv4,부메랑Lv4:\\n왕복 횟수+1
exp_upgrade.boomerang.lv5,부메랑Lv5:\\n간격-0.12s
exp_upgrade.boomerang.lv6,부메랑Lv6:\\n공격력+3
exp_upgrade.boomerang.lv7,부메랑Lv7:\\n관통+1
exp_upgrade.boomerang.lv8,부메랑Lv8:\\n개수+1
exp_upgrade.boomerang.lv9,부메랑Lv9:\\n간격-0.12s
exp_upgrade.boomerang.lv10,부메랑Lv10:\\n공격력+4 왕복 횟수+1
exp_upgrade.holy_water.name,성수
exp_upgrade.holy_water.paired_name,라 보라
exp_upgrade.holy_water.paired_desc,장판 추적 + 범위 증가
exp_upgrade.holy_water.lv1,성수Lv1:\\n지속 피해 장판을 생성하고 적을 감속
exp_upgrade.holy_water.lv2,성수Lv2:\\n틱 피해+1
exp_upgrade.holy_water.lv3,성수Lv3:\\n틱 간격-0.05s
exp_upgrade.holy_water.lv4,성수Lv4:\\n감속 강화
exp_upgrade.holy_water.lv5,성수Lv5:\\n시전 간격-0.2s
exp_upgrade.holy_water.lv6,성수Lv6:\\n틱 피해+1
exp_upgrade.holy_water.lv7,성수Lv7:\\n감속 지속시간+0.1s
exp_upgrade.holy_water.lv8,성수Lv8:\\n틱 간격-0.05s
exp_upgrade.holy_water.lv9,성수Lv9:\\n틱 피해+2
exp_upgrade.holy_water.lv10,성수Lv10:\\n시전 간격-0.25s 감속 강화
exp_upgrade.attractorb.name,어트랙터브
exp_upgrade.attractorb.lv1,어트랙터브Lv1:\\n획득 반경+0.8
exp_upgrade.attractorb.lv2,어트랙터브Lv2:\\n획득 반경+1.6
exp_upgrade.attractorb.lv3,어트랙터브Lv3:\\n획득 반경+2.4
exp_upgrade.attractorb.lv4,어트랙터브Lv4:\\n획득 반경+3.2
exp_upgrade.attractorb.lv5,어트랙터브Lv5:\\n획득 반경+4.0
exp_upgrade.simple_axe.name,구리 검
exp_upgrade.simple_axe.paired_name,데스 스파이럴
exp_upgrade.simple_axe.paired_desc,360도 전화면 관통 회전 투사체
exp_upgrade.simple_axe.lv1,구리 검Lv1:\\n위로 던져 포물선으로 낙하
exp_upgrade.simple_axe.lv2,구리 검Lv2：\\n공격력+3
exp_upgrade.simple_axe.lv3,구리 검Lv3：\\n개수+1
exp_upgrade.simple_axe.lv4,구리 검Lv4：\\n공격력+3 간격-0.1s
exp_upgrade.simple_axe.lv5,구리 검Lv5：\\n관통+1
exp_upgrade.simple_axe.lv6,구리 검Lv6：\\n공격력+4 개수+1
exp_upgrade.simple_axe.lv7,구리 검Lv7：\\n간격-0.2s
exp_upgrade.simple_axe.lv8,구리 검Lv8：\\n공격력+5
exp_upgrade.simple_axe.lv9,구리 검Lv9：\\n개수+1 관통+1
exp_upgrade.simple_axe.lv10,구리 검Lv10：\\n공격력+5 간격-0.2s
exp_upgrade.armor.name,방어구
exp_upgrade.armor.lv1,방어구Lv1:\\n받는 피해-1
exp_upgrade.armor.lv2,방어구Lv2:\\n받는 피해-2
exp_upgrade.armor.lv3,방어구Lv3:\\n받는 피해-3
exp_upgrade.armor.lv4,방어구Lv4:\\n받는 피해-4
exp_upgrade.armor.lv5,방어구Lv5:\\n받는 피해-5
exp_upgrade.yellow_potion.name,노란 물약
exp_upgrade.yellow_potion.lv1,노란 물약Lv1:\\n무기 범위+10%
exp_upgrade.yellow_potion.lv2,노란 물약Lv2:\\n무기 범위+20%
exp_upgrade.yellow_potion.lv3,노란 물약Lv3:\\n무기 범위+30%
exp_upgrade.yellow_potion.lv4,노란 물약Lv4:\\n무기 범위+40%
exp_upgrade.yellow_potion.lv5,노란 물약Lv5:\\n무기 범위+50%
