key,value
exp_upgrade.simple_axe.name,铜剑
exp_upgrade.simple_axe.paired_name,死亡旋风
exp_upgrade.simple_axe.paired_desc,360° 全屏穿透旋转投射物
exp_upgrade.simple_axe.lv1,铜剑Lv1:\\n向上抛出剑体，沿抛物线落下
exp_upgrade.simple_axe.lv2,铜剑Lv2：\\n攻击力+3
exp_upgrade.simple_axe.lv3,铜剑Lv3：\\n数量+1
exp_upgrade.simple_axe.lv4,铜剑Lv4：\\n攻击力+3 间隔-0.1s
exp_upgrade.simple_axe.lv5,铜剑Lv5：\\n穿透+1
exp_upgrade.simple_axe.lv6,铜剑Lv6：\\n攻击力+4 数量+1
exp_upgrade.simple_axe.lv7,铜剑Lv7：\\n间隔-0.2s
exp_upgrade.simple_axe.lv8,铜剑Lv8：\\n攻击力+5
exp_upgrade.simple_axe.lv9,铜剑Lv9：\\n数量+1 穿透+1
exp_upgrade.simple_axe.lv10,铜剑Lv10：\\n攻击力+5 间隔-0.2s
exp_upgrade.armor.name,护甲
exp_upgrade.armor.lv1,护甲Lv1:\\n受到伤害-1
exp_upgrade.armor.lv2,护甲Lv2:\\n受到伤害-2
exp_upgrade.armor.lv3,护甲Lv3:\\n受到伤害-3
exp_upgrade.armor.lv4,护甲Lv4:\\n受到伤害-4
exp_upgrade.armor.lv5,护甲Lv5:\\n受到伤害-5
exp_upgrade.yellow_potion.name,黄药水
exp_upgrade.yellow_potion.lv1,黄药水Lv1:\\n武器范围+10%
exp_upgrade.yellow_potion.lv2,黄药水Lv2:\\n武器范围+20%
exp_upgrade.yellow_potion.lv3,黄药水Lv3:\\n武器范围+30%
exp_upgrade.yellow_potion.lv4,黄药水Lv4:\\n武器范围+40%
exp_upgrade.yellow_potion.lv5,黄药水Lv5:\\n武器范围+50%
